intprop,strUnitType,strInside,dblfloor,fltInStorePerc,dblcurrentrate,dblttlSpaces,dblTtlAvail,fineSizeCategory,broadSizeCategory,strSpecial
493,ST-RG,I,1,1.1,39,12,4,Small,Locker,X
493,ST-RG,O,1,1.1,55,1,0,5x5,Small,
493,ST-CC,I,1,1.1,135,2,0,5x10,Small,
493,ST-CC,I,1,1.1,135,2,0,5x10,Small,
493,ST-RG,O,1,1.1,75,81,13,5x10,Small,X
493,ST-RG,I,1,1.1,79,35,1,5x10,Small,X
493,ST-RG,I,1,1.1,79,11,3,5x10,Small,X
493,ST-RG,O,1,1.1,94,2,0,5x10,Small,
493,ST-CC,I,1,1.1,155,1,0,5x10,Small,
493,ST-RG,O,1,1.1,95,20,2,5x15,Small,
493,ST-CC,I,1,1.1,155,2,0,5x10,Small,
493,ST-CC,I,1,1.1,169,1,0,5x15,Small,
493,ST-CC,I,1,1.1,175,2,1,5x15,Small,X
493,ST-RG,O,1,1.1,107,1,0,5x10,Small,
493,ST-CC,I,1,1.1,185,4,0,10x10,Medium,
493,ST-CC,I,1,1.1,185,7,1,10x10,Medium,X
493,ST-CC,I,1,1.1,185,1,0,10x10,Medium,
493,ST-RG,O,1,1.1,125,118,15,10x10,Medium,X
493,ST-RG,O,1,1.1,116,2,0,10x10,Medium,
493,ST-RG,I,1,1.1,122,23,2,10x10,Medium,
493,ST-CC,I,1,1.1,195,4,1,10x10,Medium,W
493,ST-RG,O,1,1.1,134,5,1,10x10,Medium,W
493,ST-CC,I,1,1.1,205,1,1,10x10,Medium,X
493,ST-CC,I,1,1.1,205,5,1,10x10,Medium,W
493,ST-CC,I,1,1.1,225,3,0,10x15,Medium,
493,ST-RG,O,1,1.1,165,64,10,10x15,Medium,X
493,ST-RG,O,1,1.1,165,1,1,10x15,Medium,X
493,ST-CC,I,1,1.1,245,3,1,10x15,Medium,X
493,ST-CC,I,1,1.1,259,4,0,10x20,Large,
493,ST-CC,I,1,1.1,259,6,0,10x20,Large,
493,ST-RG,O,1,1.1,175,109,17,10x20,Large,X
493,ST-RG,I,1,1.1,182,4,0,10x20,Large,
493,ST-RG,O,1,1.1,245,10,0,10x30,Large,
494,ST-CC,I,1,1.1,59,2,0,5x5,Small,
494,ST-CC,I,1,1.1,74,26,0,5x10,Small,
494,ST-RG,O,1,1.1,60,39,3,5x10,Small,W
494,ST-RG,O,1,1.1,85,2,0,5x15,Small,
494,ST-CC,I,1,1.1,124,36,2,10x10,Medium,
494,ST-RG,O,1,1.1,107,73,7,10x10,Medium,X
494,ST-RG,O,1,1.1,159,57,0,10x15,Medium,
494,ST-RG,O,1,1.1,165,94,9,10x20,Large,X
494,ST-RG,O,1,1.1,185,4,2,10x20,Large,X
494,ST-RG,O,1,1.1,195,16,0,10x30,Large,
494,ST-RG,O,1,1.1,235,4,0,20x20,Large,
494,ST-RG,O,1,1.1,235,1,0,20x20,Large,
82,ST-RG,O,1,1.1,32,72,11,5x5,Small,W
82,PK-S,O,1,1.1,75,14,0,30' Parking,Vehicle,
82,ST-RG,O,1,1.1,45,144,23,5x10,Small,W
82,ST-RG,O,1,1.1,85,14,2,5x15,Small,
82,ST-RG,O,1,1.1,96,136,23,10x10,Medium,W
82,ST-RG,O,1,1.1,115,58,9,10x15,Medium,
82,ST-RG,O,1,1.1,159,102,8,10x20,Large,
82,ST-RG,O,1,1.1,189,10,1,10x20,Large,
82,ST-RG,O,1,1.1,211,47,1,10x30,Large,
82,ST-CC,I,1,1.1,65,13,1,5x5,Small,
82,ST-CC,I,1,1.1,95,10,0,5x10,Small,
82,ST-CC,I,1,1.1,95,5,1,5x10,Small,
82,ST-CC,I,1,1.1,99,24,1,5x15,Small,
82,ST-CC,I,1,1.1,152,28,1,10x10,Medium,
82,ST-CC,I,1,1.1,183,24,0,10x15,Medium,
82,ST-CC,I,1,1.1,205,12,0,10x20,Large,
82,ST-CC,I,1,1.1,239,12,0,10x20,Large,
82,ST-RG,O,1,1.1,62,17,8,5x10,Small,W
94,ST-CC,I,1,1.1,76,22,1,5x5,Small,
94,ST-RG,O,1,1.1,45,24,5,5x5,Small,X
94,PK-P,O,1,1.1,115,5,0,30' Parking,Vehicle,
94,ST-RG,O,1,1.1,79,28,2,5x10,Small,
94,ST-RG,I,1,1.1,79,78,10,5x10,Small,X
94,ST-CC,I,1,1.1,105,16,1,5x10,Small,
94,ST-RG,O,1,1.1,95,34,7,5x15,Small,X
94,ST-RG,I,1,1.1,96,30,4,5x15,Small,X
94,ST-CC,I,1,1.1,132,37,1,10x10,Medium,
94,ST-RG,O,1,1.1,105,78,14,10x10,Medium,X
94,ST-RG,I,1,1.1,117,21,0,10x10,Medium,
94,ST-CC,I,1,1.1,150,26,3,10x15,Medium,X
94,ST-RG,O,1,1.1,129,90,14,10x15,Medium,X
94,ST-CC,I,1,1.1,185,16,1,10x20,Large,
94,ST-RG,O,1,1.1,165,111,9,10x20,Large,X
94,ST-RG,O,1,1.1,169,10,3,10x20,Large,X
94,ST-RG,O,1,1.1,172,12,2,10x20,Large,W
94,ST-RG,O,1,1.1,188,20,1,10x30,Large,
94,ST-RG,O,1,1.1,173,2,0,10x30,Large,
94,ST-CC,I,1,1.1,105,9,0,5x10,Small,
94,ST-CC,I,1,1.1,109,16,4,5x15,Small,X
94,ST-CC,I,1,1.1,225,4,1,10x20,Large,W
94,PK-P,O,1,1.1,85,10,0,20' Parking,Vehicle,
94,PK-P,O,1,1.1,89,5,0,20' Parking,Vehicle,
242,ST-RG,O,1,1.1,89,11,3,5x5,Small,X
242,ST-RG,O,1,1.1,99,100,19,5x10,Small,X
242,ST-RG,O,1,1.1,139,78,23,10x10,Medium,X
242,ST-RG,O,1,1.1,149,32,11,10x15,Medium,X
242,ST-RG,O,1,1.1,185,50,8,10x20,Large,X
242,ST-RG,O,1,1.1,235,5,0,10x30,Large,
242,ST-RG,O,1,1.1,355,5,1,Big,Large,W
242,ST-RG,O,1,1.1,235,2,0,10x30,Large,
242,ST-CC,I,1,1.1,195,11,0,10x10,Medium,
242,ST-CC,I,1,1.1,195,1,0,10x10,Medium,
242,ST-CC,I,1,1.1,129,2,0,5x10,Small,
242,ST-CC,I,1,1.1,205,4,0,10x15,Medium,
242,ST-CC,I,1,1.1,95,9,3,5x5,Small,X
242,ST-CC,I,1,1.1,169,2,0,5x15,Small,
242,ST-CC,I,1,1.1,135,4,0,5x10,Small,
278,ST-RG,O,1,1.1,67,40,3,5x5,Small,X
278,ST-RG,O,1,1.1,77,74,3,5x10,Small,W
278,ST-RG,O,1,1.1,89,91,24,10x10,Medium,X
278,ST-RG,O,1,1.1,117,43,7,10x15,Medium,X
278,ST-RG,O,1,1.1,165,53,5,10x20,Large,X
278,ST-RG,O,1,1.1,195,4,1,10x20,Large,W
278,ST-RG,O,1,1.1,196,19,1,10x30,Large,
278,PK-P,O,1,1.1,74,55,0,20' Parking,Vehicle,
278,PK-S,O,1,1.1,85,12,0,30' Parking,Vehicle,
278,PK-S,O,1,1.1,89,6,0,40' Parking,Vehicle,
278,ST-RG,O,1,1.1,165,2,0,10x20,Large,
278,ST-RG,O,1,1.1,139,18,4,10x15,Medium,X
278,ST-CC,I,1,1.1,129,16,0,10x10,Medium,
278,ST-CC,I,1,1.1,152,34,1,10x15,Medium,
278,ST-CC,I,1,1.1,175,19,2,10x20,Large,W
278,ST-CC,I,1,1.1,209,5,0,10x20,Large,
278,ST-CC,I,1,1.1,85,10,0,5x10,Small,
278,ST-CC,I,1,1.1,95,2,0,5x15,Small,
278,ST-CC,I,1,1.1,85,6,0,5x10,Small,
278,ST-CC,I,1,1.1,52,2,0,5x5,Small,
278,ST-CC,I,2,1.1,49,10,1,5x5,Small,
278,ST-CC,I,2,1.1,60,60,6,5x10,Small,X
278,ST-CC,I,2,1.1,79,16,2,5x15,Small,W
278,ST-CC,I,2,1.1,79,5,4,5x10,Small,X
278,ST-CC,I,2,1.1,79,1,0,5x15,Small,
278,ST-CC,I,2,1.1,95,44,7,10x10,Medium,X
278,ST-CC,I,2,1.1,125,2,0,10x15,Medium,
278,ST-CC,I,2,1.1,129,16,1,10x15,Medium,
278,ST-RG,O,1,1.1,89,3,0,5x15,Small,
493,PK-P,O,1,1.1,82,7,0,20' Parking,Vehicle,
493,PK-G,O,1,1.1,89,6,0,40' Parking,Vehicle,
493,ST-CC,I,1,1.1,85,2,1,5x5,Small,X
493,ST-CC,I,1,1.1,85,1,1,5x5,Small,X
493,ST-RG,O,1,1.1,55,19,8,5x5,Small,X
493,ST-RG,I,1,1.1,59,15,6,5x5,Small,X
